meal_type,celebrity_slug,title,key_ingredients,description
dinner,natalie-portman,Stuffed Sweet Potatoes with Black Beans,Sweet Potato; Black Beans; Salsa; Avocado; Cilantro; Lime,Sweet potatoes stuffed with black beans
dinner,joaquin-phoenix,Sweet Potato and Black Bean Chili,Sweet Potato; Black Beans; Tomato; Yellow Onion; Garlic; Vegetable Broth,Sweet potato and black bean chili
dinner,ariana-grande,Sweet Potato Curry,Sweet Potato; Canned Coconut Milk; Red Curry Paste; Yellow Onion; Garlic; Spinach,Coconut sweet potato curry over jasmine rice
dinner,tabitha-brown,Tempeh and Mushroom Pasta Bake,Whole Wheat Pasta; Tempeh; Mushrooms; Vegan Cheese; Tomato; Avocado Oil,"Whole wheat pasta tossed with browned crumbled tempeh, mushrooms, and tomato, then baked under a layer of melted vegan cheese until bubbling."
dinner,ariana-grande,Tempeh and Vegetable Noodle Bowl,Rice Noodles; Tempeh; Bok Choy; Carrot; Bean Sprouts; Sesame Oil,"Rice noodles with tempeh, bok choy, and lime"
dinner,natalie-portman,Tofu Stir-Fry with Vegetables,Tofu; Broccoli; Carrot; Bell Pepper; Tamari; Ginger,Tofu stir-fry with broccoli over brown rice
dinner,madelaine-petsch,Vegan Cheesy Broccoli and Black Bean Rice Bake,Broccoli; Black Beans; Brown Rice; Vegan Cheese; Spinach; Extra Virgin Olive Oil,"Brown rice, broccoli, spinach, and black beans tossed in olive oil in a baking dish, topped with shredded vegan cheese and baked until bubbly and golden."
dinner,ariana-grande,Veggie Stir-Fry with Tofu,Tofu; Brown Rice; Broccoli; Bell Pepper; Snow Peas; Tamari,Tofu stir-fry with broccoli and snow peas
dinner,cameron-diaz,Whole-Wheat Pasta with Lentil Tomato Sauce,Whole Wheat Pasta; Lentils; Tomato; Extra Virgin Olive Oil; Garlic; Lemon,"Whole-wheat pasta topped with a slow-simmered lentil and crushed tomato ragu finished in olive oil, brightened at the table with a squeeze of fresh lemon."
smoothie,ariana-grande,Berry Acai Power Smoothie,Acai Puree; Frozen Mixed Berries; Frozen Banana; Almond Milk; Chia Seeds,Acai berry smoothie with banana and chia
smoothie,jennifer-aniston,Berry and Flax Smoothie,Frozen Mixed Berries; Frozen Banana; Ground Flaxseed; Almond Milk; Honey,Mixed berry smoothie with flaxseed
smoothie,gwyneth-paltrow,Berry Collagen Smoothie,Frozen Mixed Berries; Collagen Peptides; Almond Milk; Almond Butter; Honey,Berry collagen smoothie with almond butter
smoothie,cristiano-ronaldo,Berry Protein Blast,Whey Protein Powder; Frozen Mixed Berries; Almond Milk; Chia Seeds,Whey protein smoothie with mixed berries
smoothie,tom-brady,Blueberry Anti-Inflammatory Smoothie,Blueberries; Frozen Banana; Almond Milk; Ground Flaxseed; Turmeric; Ginger,Blueberry smoothie with flaxseed and turmeric
smoothie,beyonce,Chocolate Peanut Butter Power Smoothie,Frozen Banana; Peanut Butter; Cacao Powder; Oat Milk; Medjool Dates,Chocolate peanut butter smoothie with dates
smoothie,dwayne-johnson,Chocolate Protein Smoothie,Whey Protein Powder; Cacao Powder; Frozen Banana; Almond Butter; Oat Milk,Chocolate whey smoothie with almond butter
smoothie,joaquin-phoenix,Green Apple Ginger Smoothie,Apple; Spinach; Ginger; Lemon; Coconut Water; Flax Seeds,Green apple and ginger smoothie
smoothie,gwyneth-paltrow,Green Detox Smoothie,Spinach; Cucumber; Apple; Lemon; Ginger; Avocado,"Green smoothie with cucumber, apple, and ginger"
smoothie,natalie-portman,Green Goddess Smoothie,Spinach; Frozen Banana; Almond Milk; Almond Butter; Hemp Seeds,Banana-spinach smoothie with hemp seeds
smoothie,cameron-diaz,Green Longevity Smoothie,Kale; Banana; Blueberries; Almond Milk; Chia Seeds; Lemon,"Kale, banana, blueberries, and almond milk blended with chia seeds and a squeeze of lemon — a nutrient-dense smoothie inspired by Cameron's whole-food, anti-inflammatory approach."
smoothie,jennifer-aniston,Green Mediterranean Smoothie,Spinach; Frozen Banana; Collagen Peptides; Almond Milk; Walnuts,Banana-spinach smoothie with collagen and walnuts
smoothie,lebron-james,Green Recovery Smoothie,Spinach; Frozen Banana; Whey Protein Powder; Almond Butter; Almond Milk,Spinach-banana recovery smoothie with protein
smoothie,megan-thee-stallion,Kale and Blueberry Recovery Smoothie,Almond Milk; Kale; Frozen Banana; Blueberries; Plant Protein Powder,"A nutrient-dense green smoothie with kale, blueberries, banana, and plant protein — designed for post-workout muscle recovery with antioxidant-rich ingredients."
smoothie,natalie-portman,Mango Turmeric Smoothie,Frozen Mango; Frozen Banana; Coconut Milk; Turmeric; Ginger,Mango turmeric smoothie with ginger
smoothie,dwayne-johnson,Mass Gain Shake,Whey Protein Powder; Frozen Banana; Rolled Oats; Peanut Butter; Oat Milk,High-calorie shake with oats and peanut butter
smoothie,ariana-grande,Matcha Banana Smoothie,Frozen Banana; Matcha Powder; Almond Milk; Almond Butter; Maple Syrup,Matcha banana smoothie with almond butter
smoothie,cristiano-ronaldo,Post-Workout Recovery Smoothie,Whey Protein Powder; Frozen Banana; Peanut Butter; Oat Milk; Honey,"Whey, banana, and peanut butter shake"
smoothie,joaquin-phoenix,Raw Cacao and Banana Smoothie,Frozen Banana; Cacao Powder; Almond Milk; Medjool Dates; Almond Butter,Raw cacao banana smoothie with dates
smoothie,madelaine-petsch,Spinach and Berry Power Smoothie,Spinach; Frozen Mixed Berries; Banana; Almond Milk; Plant Protein Powder; Maple Syrup,"A vibrant green-purple smoothie packed with spinach, frozen berries, banana, and plant protein — a quick whole-food fuel source."
smoothie,tom-brady,TB12 Performance Smoothie,Frozen Banana; Plant Protein Powder; Spinach; Almond Butter; Almond Milk,Plant-protein smoothie with spinach and almond butter
smoothie,beyonce,Tropical Green Smoothie,Spinach; Frozen Mango; Pineapple; Frozen Banana; Coconut Water; Ground Flaxseed,Mango-pineapple green smoothie with spinach
smoothie,gisele-bundchen,Tropical Green Smoothie,Frozen Mango; Frozen Banana; Spinach; Coconut Water; Chia Seeds; Hemp Seeds,"A vibrant fruit-and-greens blended breakfast with banana, mango, spinach, and chia seeds — Gisele's style of starting the day with plant nutrition."
smoothie,lebron-james,Tropical Performance Smoothie,Frozen Mango; Pineapple; Whey Protein Powder; Coconut Water; Chia Seeds,Mango-pineapple smoothie with protein
